timestamp,portfolio_value,,,,,
30-Jul-2025,20000,,,,,
31-Jul-2025,20123,,,,,
1-Aug-2025,19960,,,,,
2-Aug-2025,20003,,,,,
3-Aug-2025,19977,,,,,
4-Aug-2025,20038,,,,,
5-Aug-2025,20054,,,,,
6-Aug-2025,20110,,,,,
7-Aug-2025,20101,,,,,
8-Aug-2025,20166,,,,,
9-Aug-2025,20166,,,,,
10-Aug-2025,20166,,,,,
11-Aug-2025,20166,,,,,
12-Aug-2025,20166,,,,,
13-Aug-2025,20166,,,,,
14-Aug-2025,20166,,,,,
15-Aug-2025,20166,,,,,
16-Aug-2025,20166,,,,,
17-Aug-2025,20166,,,,,
18-Aug-2025,20166,,,,,
19-Aug-2025,20190,,,,,
20-Aug-2025,20252,,,,,
21-Aug-2025,20228,,,,,
22-Aug-2025,20315,,,,,
23-Aug-2025,20166,,,,,
24-Aug-2025,20447,,,,,
25-Aug-2025,20305,,,,,
26-Aug-2025,20430,,,,,
27-Aug-2025,20473,,,,,
28-Aug-2025,20615,,,,,
29-Aug-2025,20565,,,,,
30-Aug-2025,20518,,,,,
31-Aug-2025,20550,,,,,
1-Sep-2025,20541,,,,,
2-Sep-2025,20774,,,,,
3-Sep-2025,20774,,,,,
4-Sep-2025,20774,,,,,
5-Sep-2025,20774,,,,,
6-Sep-2025,20774,,,,,
7-Sep-2025,20774,,,,,
8-Sep-2025,20774,,,,,
9-Sep-2025,20774,,,,,
10-Sep-2025,20774,,,,,
11-Sep-2025,20774,,,,,
12-Sep-2025,20774,,,,,
13-Sep-2025,20774,,,,,
14-Sep-2025,20774,,,,,
15-Sep-2025,20774,,,,,
16-Sep-2025,20774,,,,,
17-Sep-2025,20774,,,,,
18-Sep-2025,20774,,,,,
19-Sep-2025,20774,,,,,
20-Sep-2025,20774,,,,,
21-Sep-2025,20774,,,,,
22-Sep-2025,20774,,,,,
23-Sep-2025,20821,,,,,
24-Sep-2025,20850,,,,,
25-Sep-2025,20832,,,,,
26-Sep-2025,20848,,,,,
27-Sep-2025,20836,,,,,
28-Sep-2025,20876,,,,,
29-Sep-2025,20965,,,,,
30-Sep-2025,20965,,,,,
1-Oct-2025,20965,,,,,
2-Oct-2025,20965,,,,,